Ball,Ball Number,Bowler,Batsman,Runs,is_wicket,bowler_good,Description,match_id,total_runs,over,ball_in_over,continuous_ball_index,overs_bowled,overs_completed,balls_in_current_over,actual_over_ball,is_original_ball_number,current_run_rate,total_overs,target,runs_needed,overs_remaining,required_run_rate,wickets_fallen,wickets_in_hand
41,6.5,Wood,Sarfaraz Khan,0,False,1,"back of a length on sixth stump, defended to cover.",3,107,6,5,100,16.833333333333332,16,5,16.5,True,6.356435643564357,20,194,87,3.166666666666668,27.473684210526304,8,2
42,6.6,Wood,Sarfaraz Khan,0,True,1,"Sarfaraz can't escape the short ball from Wood!Banged in short at 137 kph, Sarfaraz ducks and almost falls over getting out of the way of the ball... before bizarrely changing his mind in a split second as he's losing his balance and tries to attack this with an uppercut over the keeper. He gets plenty of bat on it, enough for it to sail to deep fine leg who is fielding very straight and takes a chest high catch three yards in from the rope.",3,107,6,6,101,17.0,16,6,16.6,True,6.294117647058823,20,194,87,3.0,29.0,9,1
43,7.1,Ravi Bishnoi,Warner,0,False,1,"good length ball on sixth stump, cut to backward point for none.",3,107,7,1,102,17.166666666666668,17,1,17.1,True,6.233009708737864,20,194,87,2.833333333333332,30.705882352941188,9,1
44,7.2,Ravi Bishnoi,Warner,1,False,0,"length ball on sixth stump, cuts this to deep point for one.",3,108,7,2,103,17.333333333333332,17,2,17.2,True,6.230769230769231,20,194,86,2.666666666666668,32.249999999999986,9,1
45,7.3,Ravi Bishnoi,Rossouw,1,False,0,"full on the stumps, driven to long-on for one.",3,109,7,3,104,17.5,17,3,17.3,True,6.228571428571429,20,194,85,2.5,34.0,9,1
46,7.4,Ravi Bishnoi,Warner,1,False,0,"length ball on sixth stump, cuts this late to backward point. Rahul fumbles this to turn a dot into one.",3,110,7,4,105,17.666666666666668,17,4,17.4,True,6.226415094339623,20,194,84,2.333333333333332,36.00000000000002,9,1
47,7.5,Ravi Bishnoi,Rossouw,0,False,1,"full on middle, defended to cover.",3,110,7,5,106,17.833333333333332,17,5,17.5,True,6.168224299065421,20,194,84,2.166666666666668,38.769230769230745,9,1
48,7.6,Ravi Bishnoi,Rossouw,2,False,0,charges a length ball before adjusting getting nowhere near the pitch and swats this through extra cover for one.,3,112,7,6,107,18.0,17,6,17.6,True,6.222222222222222,20,194,82,2.0,41.0,9,1
49,8.1,Gowtham,Warner,1,False,0,"good length ball on fifth stump, slapped through the off side for one.",3,113,8,1,108,18.166666666666668,18,1,18.1,True,6.220183486238532,20,194,81,1.8333333333333321,44.18181818181821,9,1
50,8.2,Gowtham,Rossouw,0,False,1,"good length ball on leg stump, grips in the pitch and checks this back uppishly to the bowler.",3,113,8,2,109,18.333333333333332,18,2,18.2,True,6.163636363636364,20,194,81,1.6666666666666679,48.599999999999966,9,1
51,8.3,Gowtham,Rossouw,1,False,0,"back of a length angled into the legs outside leg, punched through extra cover for one.",3,114,8,3,110,18.5,18,3,18.3,True,6.162162162162162,20,194,80,1.5,53.333333333333336,9,1
52,8.4,Gowtham,Warner,1,False,0,"short on middle, pulled through wide midwicket for one.",3,115,8,4,111,18.666666666666668,18,4,18.4,True,6.160714285714286,20,194,79,1.3333333333333321,59.25000000000005,9,1
53,8.5,Gowtham,Rossouw,1,False,0,"full on middle, chipped to long-on for one.",3,116,8,5,112,18.833333333333332,18,5,18.5,True,6.159292035398231,20,194,78,1.1666666666666679,66.85714285714279,9,1
54,8.6,Gowtham,Warner,0,False,1,"good length ball speared quicker into the legs, goes to flick but misses.",3,116,8,6,113,19.0,18,6,18.6,True,6.105263157894737,20,194,78,1.0,78.0,9,1
55,9.1,Ravi Bishnoi,Rossouw,4,False,0,"length ball on fifth stump, backs away and cracks this through wide extra cover beating the sweeper to the rope.",3,120,9,1,114,19.166666666666668,19,1,19.1,True,6.260869565217391,20,194,74,0.8333333333333321,88.80000000000013,9,1
56,9.2,Ravi Bishnoi,Rossouw,1,False,0,"short on seventh stump, slapped straight to cover but a misfield by Krunal allows a single.",3,121,9,2,115,19.333333333333332,19,2,19.2,True,6.258620689655173,20,194,73,0.6666666666666679,109.4999999999998,9,1
57,9.3,Ravi Bishnoi,Warner,1,False,0,good length ball pulled on one knee through square leg for one.,3,122,9,3,116,19.5,19,3,19.3,True,6.256410256410256,20,194,72,0.5,144.0,9,1
58,9.4,Ravi Bishnoi,Rossouw,4,False,0,"full on leg stump, Rossouw steps away from leg to create room to stroke this high over the bowler to the long-on rope.",3,126,9,4,117,19.666666666666668,19,4,19.4,True,6.406779661016949,20,194,68,0.33333333333333215,204.00000000000074,9,1
59,9.5,Ravi Bishnoi,Rossouw,6,False,0,"thigh high full toss on the hips, heaves this toward Unadkat at deep backward square leg. He takes a chest high catch...but was stepping on the rope and didn't flick it up to himself before he had made contact with the foam triangle.Unadkat didn't realize how close he was to the rope.",3,132,9,5,118,19.833333333333332,19,5,19.5,True,6.65546218487395,20,194,62,0.16666666666666785,371.9999999999974,9,1
60,9.6,Ravi Bishnoi,Rossouw,1,False,0,"full on the legs, driven off Bishnoi to long-off for one.",3,133,9,6,119,20.0,19,6,19.6,True,6.65,20,194,61,0.0,inf,9,1
