Ball,Ball Number,Summary,Description
178,28.6,"Phillips to Axar Patel,1 run","Phillips boling to Axar like Axar bowled to him earlier in the evening. 89ks, flat on leg stump, punched to long-on"
179,29.1,"Michael Bracewell to Axar Patel,no run",Single stopped with a dive to the right at mid-on.
180,29.2,"Michael Bracewell to Axar Patel,no run","Full on middle, defended to the bowler"
181,29.3,"Michael Bracewell to Axar Patel,1 run","Goes back and punches it to long-on. Length on middle and off, Axar moved leg side and got the front leg in the air which made even more room"
182,29.4,"Michael Bracewell to Shreyas Iyer,1 run","Full down leg, 88ks, glanced to short fine leg"
183,29.5,"Michael Bracewell to Axar Patel,no run","Fullish on leg, defended to the bowler's left. 88ks."
184,29.6,"Michael Bracewell to Axar Patel,1 run","Full on off, 82ks, driven to long-off"
185,30.1,"Phillips to Axar Patel,1 run","Wide and fullish, slapped to long-off."
186,30.2,"Phillips to Shreyas Iyer,1 run","Full on off, 91ks, worked to long-on"
187,30.3,"Phillips to Axar Patel,1 run","Fullish on middle, looked quick off the pitch. 93ks. Axar tried to drive straight, inside edged it through square leg"
188,30.4,"Phillips to Shreyas Iyer,1 run","Length on fifth, square driven off the back foot to deep point"
189,30.5,"Phillips to Axar Patel,no run","Full on middle, 87ks, flicked to midwicket"
190,30.6,"Phillips to Axar Patel,1 run","Wide on a length, slapped to long-off. Risk-free five runs off the over"
191,31.1,"Michael Bracewell to Axar Patel,1 run","Fullish outside off, pushed to long-off"
192,31.2,"Michael Bracewell to Shreyas Iyer,no run","Fullish at the stumps, defended to cover"
193,31.3,"Michael Bracewell to Shreyas Iyer,no run","Length ball lands around off and spins down leg, glanced with the turn to short fine leg. 86ks"
194,31.4,"Michael Bracewell to Shreyas Iyer,2 runs","Two dots and Shreyas charges down to whip hm over midwicket. The bat-face turned inwards on impact but there was enough elevation to eliminate the risk of a wicket. Floated a touch, Shreyas got to the pitch and was in position, got it off the bottom of the bat"
195,31.5,"Michael Bracewell to Shreyas Iyer,1 run",Goes back and whips it to deep midwicket
196,31.6,"Michael Bracewell to Axar Patel,no run","Wide and slow on a fullish length, underedged cut goes to point"
197,32.1,"Phillips to Shreyas Iyer,1 run","Fullish outside off, pushes it with an open bat-face to point"
198,32.2,"Phillips to Axar Patel,1 run",Goes back and drives the length ball to long-on
199,32.3,"Phillips to Shreyas Iyer,1 run","Loopy fullish ball outside off, stock ball. 86ks. Pushed through point"
200,32.4,"Phillips to Axar Patel,1 run","Length on fourth, pulled to wide long-on"
201,32.5,"Phillips to Shreyas Iyer,FOUR runs",Swatted just wide of square leg. Catchable height but well to the left of Chapman at square leg. He flung his body but the ball sped past him. Was a shortish ball that didn't rise much and Shreyas pulled it while crouching. Great hand speed. India 99 away now
