Ball,Ball Number,Summary,Description
256,41.6,"Michael Bracewell to Hardik,no run","Slows up the length ball outside off, he gets half-forward and blocks"
257,42.1,"Santner to Rahul,no run","Angles the length ball on middle, he prods forward and defends back to the bowler"
258,42.2,"Santner to Rahul,no run","Floated outside off, he plays with an open face of the blade to cover point's right. Rahul wanted the run, Pandya didn't"
259,42.3,"Santner to Rahul,1 run","Tossed up on middle, he stays leg side of the ball and eases it to long-off"
260,42.4,"Santner to Hardik,1 run","Tad bit short on leg stump, he works this to the on-side for a quick run"
261,42.5,"Santner to Rahul,no run","Good length ball outside off, he pushes to the right of cover point. He wanted a run but is sent back again"
262,42.5,"Santner to Rahul,1 wide",Flatter and well down leg. Called a wide
263,42.6,"Santner to Rahul,no run",Angles the full-length ball on the stumps which is batted back to the bowler. Santner finishes with 2 for 46 off his ten
264,43.1,"Ravindra to Hardik,1 run","Tossed up on leg stump, he pushes to long-on for a run"
265,43.2,"Ravindra to Rahul,no run","Floated outside off, he opens the face of the bat and steers to point"
266,43.3,"Ravindra to Rahul,1 run","Short and wide, he drills this to deep cover but only for a run"
267,43.4,"Ravindra to Hardik,2 runs","Whacked for a couple of runs. Dragged down again outside off, he clatters this through covers and to the right of sweeper"
268,43.5,"Ravindra to Hardik,1 run","Short, wide one more time. He cuts this hard to sweeper cover. Not the best over from Rachin so far"
269,43.6,"Ravindra to Rahul,1 run","Tossed up on middle, he ticks this to deep midwicket with soft hands where GP comes charging in and prevents the second. He fails to pick up cleanly and had the two committed to the second run, they would have been home easy"
270,44.1,"O'Rourke to Rahul,FOUR runs","Four to start the 45th over. Too full outside off, Rahul stays still and drills the cover drive away from the fielder deep."
271,44.2,"O'Rourke to Rahul,2 runs","Good length ball outside off, he pats this to the left of point and they get two more"
272,44.3,"O'Rourke to Rahul,1 run",Good length ball again outside off as Rahul steers this to the right of Chapman at point for a run again
273,44.4,"O'Rourke to Hardik,no run",back of a length ball on Pandya's hips around middle and leg. He gets across and tips this to midwicket
274,44.5,"O'Rourke to Hardik,no run","Too short outside off stump, Pandya lets this go. Think he was looking for a wide, not given."
275,44.6,"O'Rourke to Hardik,1 run","Length ball on his pads, Pandya flicks this with authority but there is a fielder stationed at deep midwicket"
276,45.1,"Ravindra to Hardik,SIX runs",CRRRRUNCHED!Tossed up right in his arc on middle. He extends his arms and sends this sailing straight over the bowler's head for a huge six
277,45.2,"Ravindra to Hardik,no run","Flatter outside off, he drills this to extra cover"
278,45.3,"Ravindra to Hardik,1 run","Flatter outside off, he chops this onto the pitch with the ball going to point. They take a quick run"
279,45.4,"Ravindra to Rahul,no run","Quicker length ball outside off, he mistimes this back towards the bowler"
280,45.5,"Ravindra to Rahul,1 run",Shimmies down the track and eases the length ball to long-on for a run
281,45.6,"Ravindra to Rahul,1 run","Floated outside off, he pushes to extra cover for a run. 11 off the over."
282,45.6,"Ravindra to Hardik,2 wide","Tossed up outside off, Pandya lets the ball go and that's been called a wide. Ooh, think that's a tight call. Latham missed and conceded a bye as well"
283,46.1,"O'Rourke to Rahul,1 run","Banged in short, he mistimes his pull to deep backward square leg for a run"
284,46.2,"O'Rourke to Hardik,no run","Swish and a miss!Back of a length ball skidding through at pace on off. He was looking to pull that away, but gets beaten"
285,46.3,"O'Rourke to Hardik,FOUR runs","BANG! Good length ball outside off, he jumps down the track and muscles it over mid-off. The ball goes to the fence one bounce"
286,46.4,"O'Rourke to Hardik,1 run","Fuller in length outside off, he drives to deep cover"
287,46.5,"O'Rourke to Rahul,2 runs","Big miscommunication, but no harm done.Good length ball on leg stump, he works this fine to Rachin who fires in a throw. Both Rahul and Pandya are almost at the same end. Eventually, no harm done."
288,46.6,"O'Rourke to Rahul,1 run","Banged in short at shoulder height, he pulls to deep square leg for a run"
289,47.1,"Jamieson to Rahul,1 run","Back of a length ball on off, he mistimes towards the off side, they take a quick run"
290,47.2,"Jamieson to Hardik,no run","Sharp short of a length ball outside off, he sways outside the line of that"
291,47.3,"Jamieson to Hardik,OUT",Straight up and taken by Jamieson. Is it not over yet?Sharp bouncer shoulder-high on off. Pandya is rushed into the pull and can only manage a top-edge that goes straight up and is held by Jamieson with ease
292,47.4,"Jamieson to Jadeja,2 runs","Back of a length ball on his hips, he works this to deep backward square leg and takes a couple of runs"
293,47.5,"Jamieson to Jadeja,2 runs","Two more! India getting closer. Banged in short on middle, he hooks to deep backward square leg"
294,47.6,"Jamieson to Jadeja,no run","Back of a length ball outside off, he chops this to point and sets off for a run only to be sent back. Chapman underarms a direct throw but Jadeja is in"
295,48.1,"O'Rourke to Rahul,2 runs","Yorker on off stump, he squirts this past a diving point for a couple of runs"
296,48.2,"O'Rourke to Rahul,1 run","Good length ball on off, he gets a thick inside-edge to the on-side for a run"
297,48.3,"O'Rourke to Jadeja,no run","Good length ball on leg stump, the ball flicks his pad through to the keeper"
298,48.4,"O'Rourke to Jadeja,1 run","Fuller in length on off, he pushes to mid-off and sets off"
299,48.5,"O'Rourke to Rahul,1 run","Banged in short, he nails the pull to deep square leg on the bounce"
300,48.6,"O'Rourke to Jadeja,FOUR runs","INDIA WIN THE CHAMPIONS TROPHY!A third title for them in the competition. And this surely has to be the most comprehensive. Unbeaten all through the tournament and have rarely been challenged at any stage. It is Ravindra Jadeja, who hits the winning runs. Pulls this past deep square leg and into the fence. Raises his arms in delight, so does Rahul as the rest of the team rushes out to the middle.A second straight ICC title for India."
